2006.PHYLLO,2013.PHYsubcin,input,>
2006.PHYLLO,2013.PbivPspi,inferred,><
2006.PHYLLO,2013.PHYLLO,inferred,<
2006.PHYLLO,2013.Pcarlud,input,>
2006.PHYLLO,2013.PsalPspi,inferred,!
2006.PHYLLO,2013.Pbivent,inferred,!
2006.Pcarlud,2013.PcarPspi,inferred,<
2006.Pcarlud,2013.Ppubico,inferred,!
2006.Pcarlud,2013.PevePspi,inferred,<
2006.Pcarlud,2013.ncPHY,inferred,!
2006.Pcarlud,2013.Pevelyn,input,!
2006.Pcarlud,2013.PcarPsul,inferred,<
2006.Pcarlud,2013.Psalpin,inferred,!
2006.Pcarlud,2013.PER,inferred,<
2006.Pcarlud,2013.Prectir,inferred,!
2006.Pcarlud,2013.PevePvar,inferred,!
2006.Pcarlud,2013.PHY,inferred,!
2006.Pcarlud,2013.Psulcat,input,!
2006.Pcarlud,2013.Pvariab,inferred,!
2006.Pcarlud,2013.Pspinot,inferred,!
2006.Pcarlud,2013.Psplend,inferred,!
2006.Pcarlud,2013.PHYsubcin,inferred,!
2006.Pcarlud,2013.PbivPspi,inferred,<
2006.Pcarlud,2013.PHYLLO,inferred,<
2006.Pcarlud,2013.Pcarlud,inferred,=
2006.Pcarlud,2013.PsalPspi,inferred,!
2006.Pcarlud,2013.Pbivent,inferred,!
