Name, According_To, Rank
Callithrix kuhlii,Groves (1993),Species
Callithrix kuhlii,Groves (2005),Species
Callithrix leucippe,Groves (2005),Species
Callithrix manicorensis,Groves (2005),Species
Callithrix marcai,Groves (2005),Species
Callithrix mauesi,Groves (2005),Species
Callithrix melanura,Groves (2005),Species
Callithrix nigriceps,Groves (2005),Species
Callithrix penicillata,Groves (1993),Species
Callithrix penicillata,Groves (2005),Species
Callithrix pygmaea,Groves (1993),Species
Callithrix pygmaea,Groves (2005),Species
Callithrix saterei,Groves (2005),Species
Callitrichidae,Groves (1993),Family
Callitrichinae,Groves (2005),Subfamily
Catarrhini,Groves (2005),Parvorder
Cebidae,Groves (1993),Family
Cebidae,Groves (2005),Family
Cebinae,Groves (1993),Subfamily
Cebinae,Groves (2005),Subfamily
Cebus,Groves (1993),Genus
Cebus,Groves (2005),Genus
Cebus albifrons,Groves (1993),Species
Cebus albifrons,Groves (2005),Species
Cebus apella,Groves (1993),Species
Cebus apella,Groves (2005),Species
Cebus capucinus,Groves (1993),Species
Cebus capucinus,Groves (2005),Species
Cebus kaapori,Groves (2005),Species
Cebus libidinosus,Groves (2005),Species
Cebus nigritus,Groves (2005),Species
Cebus olivaceus,Groves (1993),Species
Cebus olivaceus,Groves (2005),Species
Cebus xanthosternos,Groves (2005),Species
Cercocebus,Groves (1993),Genus
Cercocebus,Groves (2005),Genus
Cercocebus agilis,Groves (1993),Species
Cercocebus agilis,Groves (2005),Species
Cercocebus atys,Groves (2005),Species
Cercocebus chrysogaster,Groves (2005),Species
Cercocebus galeritus,Groves (1993),Species
Cercocebus galeritus,Groves (2005),Species
Cercocebus sanjei,Groves (2005),Species
Cercocebus torquatus,Groves (1993),Species
Cercocebus torquatus,Groves (2005),Species
Cercopithecidae,Groves (1993),Family
Cercopithecidae,Groves (2005),Family
Cercopithecinae,Groves (1993),Subfamily
Cercopithecinae,Groves (2005),Subfamily
Cercopithecoidea,Groves (2005),Superfamily
Cercopithecus,Groves (1993),Genus
Cercopithecus,Groves (2005),Genus
Cercopithecus albogularis,Groves (2005),Species
Cercopithecus ascanius,Groves (1993),Species
Cercopithecus ascanius,Groves (2005),Species
Cercopithecus campbelli,Groves (1993),Species
Cercopithecus campbelli,Groves (2005),Species
Cercopithecus cephus,Groves (1993),Species
Cercopithecus cephus,Groves (2005),Species
Cercopithecus denti,Groves (2005),Species
Cercopithecus diana,Groves (1993),Species
Cercopithecus diana,Groves (2005),Species
Cercopithecus doggetti,Groves (2005),Species
Cercopithecus dryas,Groves (1993),Species
Cercopithecus dryas,Groves (2005),Species
Cercopithecus erythrogaster,Groves (1993),Species
Cercopithecus erythrogaster,Groves (2005),Species
Cercopithecus erythrotis,Groves (1993),Species
Cercopithecus erythrotis,Groves (2005),Species
Cercopithecus hamlyni,Groves (1993),Species
Cercopithecus hamlyni,Groves (2005),Species
Cercopithecus kandti,Groves (2005),Species
Cercopithecus lhoesti,Groves (1993),Species
Cercopithecus lhoesti,Groves (2005),Species
Cercopithecus lowei,Groves (2005),Species
Cercopithecus mitis,Groves (1993),Species
Cercopithecus mitis,Groves (2005),Species
Cercopithecus mona,Groves (1993),Species
Cercopithecus mona,Groves (2005),Species
Cercopithecus neglectus,Groves (1993),Species
Cercopithecus neglectus,Groves (2005),Species
Cercopithecus nictitans,Groves (1993),Species
Cercopithecus nictitans,Groves (2005),Species
Cercopithecus petaurista,Groves (1993),Species
Cercopithecus petaurista,Groves (2005),Species
Cercopithecus pogonias,Groves (1993),Species
Cercopithecus pogonias,Groves (2005),Species
Cercopithecus preussi,Groves (1993),Species
Cercopithecus preussi,Groves (2005),Species
Cercopithecus roloway,Groves (2005),Species
Cercopithecus sclateri,Groves (1993),Species
Cercopithecus sclateri,Groves (2005),Species
Cercopithecus solatus,Groves (1993),Species
Cercopithecus solatus,Groves (2005),Species
Cercopithecus wolfi,Groves (1993),Species
Cercopithecus wolfi,Groves (2005),Species
Cheirogaleidae,Groves (1993),Family
Cheirogaleinae,Groves (1993),Subfamily
Cheirogaleoidae,Groves (2005),Family
Cheirogaleoidea,Groves (2005),Superfamily
Cheirogaleus,Groves (1993),Genus
Cheirogaleus,Groves (2005),Genus
Cheirogaleus adipicaudatus,Groves (2005),Species
Cheirogaleus crossleyi,Groves (2005),Species
Cheirogaleus major,Groves (1993),Species
Cheirogaleus major,Groves (2005),Species
Cheirogaleus medius,Groves (1993),Species
Cheirogaleus medius,Groves (2005),Species
Cheirogaleus minusculus,Groves (2005),Species
Cheirogaleus ravus,Groves (2005),Species
Cheirogaleus sibreei,Groves (2005),Species
Chiromyiformes,Groves (2005),Infraorder
Chiropotes,Groves (1993),Genus
Chiropotes,Groves (2005),Genus
Chiropotes albinasus,Groves (1993),Species
Chiropotes albinasus,Groves (2005),Species
Chiropotes chiropotes,Groves (2005),Species
Chiropotes israelita,Groves (2005),Species
Chiropotes satanas,Groves (1993),Species
Chiropotes satanas,Groves (2005),Species
Chiropotes utahickae,Groves (2005),Species
Chlorocebus,Groves (1993),Genus
Chlorocebus,Groves (2005),Genus
Chlorocebus aethiops,Groves (1993),Species
Chlorocebus aethiops,Groves (2005),Species
Chlorocebus cynosuros,Groves (2005),Species
Chlorocebus djamdjamensis,Groves (2005),Species
Chlorocebus pygerythrus,Groves (2005),Species
Chlorocebus sabaeus,Groves (2005),Species
Chlorocebus tantalus,Groves (2005),Species
Colobinae,Groves (1993),Subfamily
Colobinae,Groves (2005),Subfamily
Colobus,Groves (1993),Genus
Colobus,Groves (2005),Genus
Colobus angolensis,Groves (1993),Species
Colobus angolensis,Groves (2005),Species
Colobus guereza,Groves (1993),Species
Colobus guereza,Groves (2005),Species
Colobus polykomos,Groves (1993),Species
Colobus polykomos,Groves (2005),Species
Colobus satanas,Groves (1993),Species
Colobus stanas,Groves (2005),Species
Colobus vellerosus,Groves (2005),Species
Daubentonia,Groves (1993),Genus
Daubentonia,Groves (2005),Genus
Daubentonia madagascariensis,Groves (1993),Species
Daubentonia madagascariensis,Groves (2005),Species
Daubentoniidae,Groves (1993),Family
Daubentoniidae,Groves (2005),Family
Erythrocebus,Groves (1993),Genus
Erythrocebus,Groves (2005),Genus
Erythrocebus patas,Groves (1993),Species
Erythrocebus patas,Groves (2005),Species
Eulemur,Groves (1993),Genus
Eulemur,Groves (2005),Genus
Eulemur albifrons,Groves (2005),Species
Eulemur albocollaris,Groves (2005),Species
Eulemur cinereiceps,Groves (2005),Species
Eulemur collaris,Groves (2005),Species
Eulemur coronatus,Groves (1993),Species
Eulemur coronatus,Groves (2005),Species
Eulemur fulvus,Groves (1993),Species
Eulemur fulvus,Groves (2005),Species
Eulemur macaco,Groves (1993),Species
Eulemur macaco,Groves (2005),Species
Eulemur mongoz,Groves (1993),Species
Eulemur mongoz,Groves (2005),Species
Eulemur rubriventer,Groves (1993),Species
Eulemur rubriventer,Groves (2005),Species
Eulemur rufus,Groves (2005),Species
Eulemur sanfordi,Groves (2005),Species
Euoticus,Groves (1993),Genus
Euoticus,Groves (2005),Genus
Euoticus elegantulus,Groves (1993),Species
Euoticus elegantulus,Groves (2005),Species
Euoticus pallidus,Groves (1993),Species
Euoticus pallidus,Groves (2005),Species
Galagidae,Groves (2005),Family
Galago,Groves (1993),Genus
Galago,Groves (2005),Genus
Galago alleni,Groves (1993),Species
Galago alleni,Groves (2005),Species
Galago cameronensis,Groves (2005),Species
Galago demidoff,Groves (2005),Species
Galago gabonensis,Groves (2005),Species
Galago gallarum,Groves (1993),Species
Galago gallarum,Groves (2005),Species
Galago granti,Groves (2005),Species
Galago matschiei,Groves (1993),Species
Galago matschiei,Groves (2005),Species
Galago moholi,Groves (1993),Species
Galago moholi,Groves (2005),Species
Galago nyasae,Groves (2005),Species
Galago orinus,Groves (2005),Species
Galago rondoensis,Groves (2005),Species
Galago senegalensis,Groves (1993),Species
Galago senegalensis,Groves (2005),Species
Galago thomasi,Groves (2005),Species
Galago zanzibaricus,Groves (2005),Species
Galagoides,Groves (1993),Genus
Galagoides demidoff,Groves (1993),Species
Galagoides zanzibaricus,Groves (1993),Species
Galagonidae,Groves (1993),Family
Gorilla,Groves (1993),Genus
Gorilla,Groves (2005),Genus
Gorilla beringei,Groves (2005),Species
Gorilla gorilla,Groves (1993),Species
Gorilla gorilla,Groves (2005),Species
Hapalemur,Groves (1993),Genus
Hapalemur,Groves (2005),Genus
Hapalemur alaotrensis,Groves (2005),Species
Hapalemur aureus,Groves (1993),Species
Hapalemur aureus,Groves (2005),Species
Hapalemur griseus,Groves (2005),Species
Hapalemur grisues,Groves (1993),Species
Hapalemur occidentalis,Groves (2005),Species
Hapalemur simus,Groves (1993),Species
Haplorrhini,Groves (2005),Suborder
Hominidae,Groves (1993),Family
Hominidae,Groves (2005),Family
Hominoidea,Groves (2005),Superfamily
Homo,Groves (1993),Genus
Homo,Groves (2005),Genus
Homo sapiens,Groves (1993),Species
Homo sapiens,Groves (2005),Species
Hylobates,Groves (1993),Genus
Hylobates,Groves (2005),Genus
Hylobates agilis,Groves (1993),Species
Hylobates agilis,Groves (2005),Species
Hylobates albibarbis,Groves (2005),Species
Hylobates concolor,Groves (1993),Species
Hylobates gabriellae,Groves (1993),Species
Hylobates hoolock,Groves (1993),Species
Hylobates klossii,Groves (1993),Species
Hylobates klossii,Groves (2005),Species
Hylobates lar,Groves (1993),Species
Hylobates lar,Groves (2005),Species
Hylobates leucogenys,Groves (1993),Species
Hylobates moloch,Groves (1993),Species
Hylobates moloch,Groves (2005),Species
Hylobates muelleri,Groves (1993),Species
Hylobates muelleri,Groves (2005),Species
Hylobates pileatus,Groves (1993),Species
Hylobates pileatus,Groves (2005),Species
Hylobates syndactylus,Groves (1993),Species
Hylobatidae,Groves (1993),Family
Hylobatidae,Groves (2005),Family
Indri,Groves (1993),Genus
Indri,Groves (2005),Genus
Indri indri,Groves (1993),Species
Indri indri,Groves (2005),Species
Indridae,Groves (1993),Family
Indriidae,Groves (2005),Family
Lagothrix,Groves (1993),Genus
Lagothrix,Groves (2005),Genus
Lagothrix cana,Groves (2005),Species
Lagothrix flavicauda,Groves (1993),Species
Lagothrix lagotricha,Groves (1993),Species
Lagothrix lagotricha,Groves (2005),Species
Lagothrix lugens,Groves (2005),Species
Lagothrix poeppigii,Groves (2005),Species
Lemur,Groves (1993),Genus
Lemur,Groves (2005),Genus
Lemur catta,Groves (1993),Species
Lemur catta,Groves (2005),Species
Lemuridae,Groves (1993),Family
Lemuridae,Groves (2005),Family
Lemuriformes,Groves (2005),Infraorder
Lemuroidea,Groves (2005),Superfamily
Leontopithecus,Groves (1993),Genus
Leontopithecus,Groves (2005),Genus
Leontopithecus caissara,Groves (1993),Species
Leontopithecus caissara,Groves (2005),Species
Leontopithecus chrysomelas,Groves (1993),Species
Leontopithecus chrysomelas,Groves (2005),Species
Leontopithecus chrysopygus,Groves (1993),Species
Leontopithecus chrysopygus,Groves (2005),Species
Leontopithecus rosalia,Groves (1993),Species
Leontopithecus rosalia,Groves (2005),Species
Lepilemur,Groves (1993),Genus
Lepilemur,Groves (2005),Genus
Lepilemur ankaranensis,Groves (2005),Species
Lepilemur dorsalis,Groves (1993),Species
Lepilemur dorsalis,Groves (2005),Species
Lepilemur edwardsi,Groves (1993),Species
Lepilemur edwardsi,Groves (2005),Species
Lepilemur leucopus,Groves (1993),Species
Lepilemur leucopus,Groves (2005),Species
Lepilemur microdon,Groves (2005),Species
Lepilemur mircrodon,Groves (1993),Species
Lepilemur mustelinus,Groves (1993),Species
Lepilemur mustelinus,Groves (2005),Species
Lepilemur ruficaudatus,Groves (1993),Species
Lepilemur ruficaudatus,Groves (2005),Species
Lepilemur septentrionalis,Groves (1993),Species
Lepilemur septentrionalis,Groves (2005),Species
Lepilemuridae,Groves (2005),Family
Lophocebus,Groves (1993),Genus
Lophocebus,Groves (2005),Genus
Lophocebus albigena,Groves (1993),Species
Lophocebus albigena,Groves (2005),Species
Lophocebus aterrimus,Groves (2005),Species
Lophocebus opdenboschi,Groves (2005),Species
Loridae,Groves (1993),Family
Loris,Groves (1993),Genus
Loris,Groves (2005),Genus
Loris lydekkerianus,Groves (2005),Species
Loris tardigradus,Groves (1993),Species
Loris tardigradus,Groves (2005),Species
Lorisidae,Groves (2005),Family
Lorisiformes,Groves (2005),Infraorder
Macaca,Groves (1993),Genus
Macaca,Groves (2005),Genus
Macaca arctoides,Groves (1993),Species
Macaca arctoides,Groves (2005),Species
Macaca assamensis,Groves (1993),Species
Macaca assamensis,Groves (2005),Species
Macaca cyclopis,Groves (1993),Species
Macaca cyclopis,Groves (2005),Species
Macaca fascicularis,Groves (1993),Species
Macaca fascicularis,Groves (2005),Species
Macaca fuscata,Groves (1993),Species
Macaca fuscata,Groves (2005),Species
Macaca hecki,Groves (2005),Species
Macaca leonina,Groves (2005),Species
Macaca maura,Groves (1993),Species
Macaca maura,Groves (2005),Species
Macaca mulatta,Groves (1993),Species
Macaca mulatta,Groves (2005),Species
Macaca nemestrina,Groves (1993),Species
Macaca nemestrina,Groves (2005),Species
Macaca nigra,Groves (1993),Species
Macaca nigra,Groves (2005),Species
Macaca nigrescens,Groves (2005),Species
Macaca ochreata,Groves (1993),Species
Macaca ochreata,Groves (2005),Species
Macaca pagensis,Groves (2005),Species
Macaca radiata,Groves (1993),Species
Macaca radiata,Groves (2005),Species
Macaca siberu,Groves (2005),Species
Macaca silenus,Groves (1993),Species
Macaca silenus,Groves (2005),Species
Macaca sinica,Groves (1993),Species
Macaca sinica,Groves (2005),Species
Macaca sylvanus,Groves (1993),Species
Macaca sylvanus,Groves (2005),Species
Macaca thibetana,Groves (1993),Species
Macaca thibetana,Groves (2005),Species
Macaca tonkeana,Groves (1993),Species
Macaca tonkeana,Groves (2005),Species
Mandrillus,Groves (1993),Genus
Mandrillus,Groves (2005),Genus
Mandrillus leucophaeus,Groves (1993),Species
Mandrillus leucophaeus,Groves (2005),Species
Mandrillus sphinx,Groves (1993),Species
Mandrillus sphinx,Groves (2005),Species
Megaladapidae,Groves (1993),Family
Microcebus,Groves (1993),Genus
Microcebus,Groves (2005),Genus
Microcebus berthae,Groves (2005),Species
Microcebus coquereli,Groves (1993),Species
Microcebus griseorufus,Groves (2005),Species
Microcebus murinus,Groves (1993),Species
Microcebus murinus,Groves (2005),Species
Microcebus myoxinus,Groves (2005),Species
Microcebus ravelobensis,Groves (2005),Species
Microcebus rufus,Groves (1993),Species
Microcebus rufus,Groves (2005),Species
Microcebus sambiranensis,Groves (2005),Species
Microcebus tavaratra,Groves (2005),Species
Miopithecus,Groves (1993),Genus
Miopithecus,Groves (2005),Genus
Miopithecus ogouensis,Groves (2005),Species
Miopithecus talapoin,Groves (1993),Species
Miopithecus talapoin,Groves (2005),Species
Mirza,Groves (2005),Genus
Mirza coquereli,Groves (2005),Species
Nasalis,Groves (1993),Genus
Nasalis,Groves (2005),Genus
Nasalis concolor,Groves (1993),Species
Nasalis larvatus,Groves (1993),Species
Nasalis larvatus,Groves (2005),Species
Nomascus,Groves (2005),Genus
Nomascus concolor,Groves (2005),Species
Nomascus gabriellae,Groves (2005),Species
Nomascus hainanus,Groves (2005),Species
Nomascus leucogenys,Groves (2005),Species
Nomascus siki,Groves (2005),Species
Nycticebus,Groves (1993),Genus
Nycticebus,Groves (2005),Genus
Nycticebus bengalensis,Groves (2005),Species
Nycticebus coucang,Groves (1993),Species
Nycticebus coucang,Groves (2005),Species
Nycticebus pygmaeus,Groves (1993),Species
Nycticebus pygmaeus,Groves (2005),Species
Oreonax,Groves (2005),Genus
Oreonax flavicauda,Groves (2005),Species
Otolemur,Groves (1993),Genus
Otolemur,Groves (2005),Genus
Otolemur crassicaudatus,Groves (1993),Species
Otolemur crassicaudatus,Groves (2005),Species
Otolemur garnettii,Groves (1993),Species
Otolemur garnettii,Groves (2005),Species
Otolemur monteiri,Groves (2005),Species
Pan,Groves (1993),Genus
Pan,Groves (2005),Genus
Pan paniscus,Groves (1993),Species
Pan paniscus,Groves (2005),Species
Pan troglodytes,Groves (1993),Species
Pan troglodytes,Groves (2005),Species
Papio,Groves (1993),Genus
Papio,Groves (2005),Genus
Papio  anubis,Groves (2005),Species
Papio cynocephalus,Groves (2005),Species
Papio hamadryas,Groves (1993),Species
Papio hamadryas,Groves (2005),Species
Papio papio,Groves (2005),Species
Papio ursius,Groves (2005),Species
Perodicticus,Groves (1993),Genus
Perodicticus,Groves (2005),Genus
Perodicticus potto,Groves (1993),Species
Perodicticus potto,Groves (2005),Species
Phaner,Groves (1993),Genus
Phaner,Groves (2005),Genus
Phaner electromontis,Groves (2005),Species
Phaner furcifer,Groves (1993),Species
Phaner furcifer,Groves (2005),Species
Phaner pallescens,Groves (2005),Species
Phaner parienti,Groves (2005),Species
Phanerinae,Groves (1993),Subfamily
Piliocolobus,Groves (2005),Genus
Piliocolobus badius,Groves (2005),Species
Piliocolobus foai,Groves (2005),Species
Piliocolobus gordonorum,Groves (2005),Species
Piliocolobus kirkii,Groves (2005),Species
Piliocolobus pennantii,Groves (2005),Species
Piliocolobus preussi,Groves (2005),Species
Piliocolobus rufomitratus,Groves (2005),Species
Piliocolobus tephrosceles,Groves (2005),Species
Piliocolobus tholloni,Groves (2005),Species
Pithecia,Groves (1993),Genus
Pithecia,Groves (2005),Genus
Pithecia aequatorialis,Groves (1993),Species
Pithecia aequatorialis,Groves (2005),Species
Pithecia albicans,Groves (1993),Species
Pithecia albicans,Groves (2005),Species
Pithecia irrorata,Groves (1993),Species
Pithecia irrorata,Groves (2005),Species
Pithecia monachus,Groves (1993),Species
Pithecia monachus,Groves (2005),Species
Pithecia pithecia,Groves (1993),Species
Pithecia pithecia,Groves (2005),Species
Pitheciidae,Groves (2005),Family
Pitheciinae,Groves (1993),Subfamily
Pitheciinae,Groves (2005),Subfamily
Platyrrhini,Groves (2005),Parvorder
Pongo,Groves (1993),Genus
Pongo,Groves (2005),Genus
Pongo abelii,Groves (2005),Species
Pongo pygmaeus,Groves (1993),Species
Pongo pygmaeus,Groves (2005),Species
Presbytis,Groves (1993),Genus
Presbytis,Groves (2005),Genus
Presbytis chrysomelas,Groves (2005),Species
Presbytis comata,Groves (1993),Species
Presbytis comata,Groves (2005),Species
Presbytis femoralis,Groves (1993),Species
Presbytis femoralis,Groves (2005),Species
Presbytis frontata,Groves (1993),Species
Presbytis frontata,Groves (2005),Species
Presbytis hosei,Groves (1993),Species
Presbytis hosei,Groves (2005),Species
Presbytis melalophos,Groves (1993),Species
Presbytis melalophos,Groves (2005),Species
Presbytis natunae,Groves (2005),Species
Presbytis potenziani,Groves (1993),Species
Presbytis potenziani,Groves (2005),Species
Presbytis rubicunda,Groves (1993),Species
Presbytis rubicunda,Groves (2005),Species
Presbytis siamensis,Groves (2005),Species
Presbytis thomasi,Groves (1993),Species
Presbytis thomasi,Groves (2005),Species
Primates,Groves (1993),Order
Primates,Groves (2005),Order
Procolobus,Groves (1993),Genus
Procolobus,Groves (2005),Genus
Procolobus badius,Groves (1993),Species
Procolobus pennantii,Groves (1993),Species
Procolobus preussi,Groves (1993),Species
Procolobus rufomitratus,Groves (1993),Species
Procolobus verus,Groves (1993),Species
Procolobus verus,Groves (2005),Species
Prolemur,Groves (2005),Genus
Prolemur simus,Groves (2005),Species
Propithecus,Groves (1993),Genus
Propithecus,Groves (2005),Genus
Propithecus coquereli,Groves (2005),Species
Propithecus deckenii,Groves (2005),Species
Propithecus diadema,Groves (1993),Species
Propithecus diadema,Groves (2005),Species
Propithecus edwardsi,Groves (2005),Species
Propithecus perrieri,Groves (2005),Species
Propithecus tattersalli,Groves (1993),Species
Propithecus tattersalli,Groves (2005),Species
Propithecus verreauxi,Groves (1993),Species
Propithecus verreauxi,Groves (2005),Species
Pseudopotto,Groves (2005),Genus
Pseudopotto martini,Groves (2005),Species
Pygathrix,Groves (1993),Genus
Pygathrix,Groves (2005),Genus
Pygathrix avunculus,Groves (1993),Species
Pygathrix bieti,Groves (1993),Species
Pygathrix brelichi,Groves (1993),Species
Pygathrix cinerea,Groves (2005),Species
Pygathrix nemaeus,Groves (1993),Species
Pygathrix nemaeus,Groves (2005),Species
Pygathrix nigripes,Groves (2005),Species
Pygathrix roxellana,Groves (1993),Species
Rhinopithecus,Groves (2005),Genus
Rhinopithecus avunculus,Groves (2005),Species
Rhinopithecus bieti,Groves (2005),Species
Rhinopithecus brelichi,Groves (2005),Species
Rhinopithecus roxellana,Groves (2005),Species
Saguinus,Groves (1993),Genus
Saguinus,Groves (2005),Genus
Saguinus bicolor,Groves (1993),Species
Saguinus bicolor,Groves (2005),Species
Saguinus fuscicollis,Groves (1993),Species
Saguinus fuscicollis,Groves (2005),Species
Saguinus geoffroyi,Groves (1993),Species
Saguinus geoffroyi,Groves (2005),Species
Saguinus graellsi,Groves (2005),Species
Saguinus imperator,Groves (1993),Species
Saguinus imperator,Groves (2005),Species
Saguinus inustus,Groves (1993),Species
Saguinus inustus,Groves (2005),Species
Saguinus labiatus,Groves (1993),Species
Saguinus labiatus,Groves (2005),Species
Saguinus leucopus,Groves (1993),Species
