Name, According_To, Rank
Saguinus leucopus,Groves (2005),Species
Saguinus martinsi,Groves (2005),Species
Saguinus melanoleucus,Groves (2005),Species
Saguinus midas,Groves (1993),Species
Saguinus midas,Groves (2005),Species
Saguinus mystax,Groves (1993),Species
Saguinus mystax,Groves (2005),Species
Saguinus niger,Groves (2005),Species
Saguinus nigricollis,Groves (1993),Species
Saguinus nigricollis,Groves (2005),Species
Saguinus oedipus,Groves (1993),Species
Saguinus oedipus,Groves (2005),Species
Saguinus pileatus,Groves (2005),Species
Saguinus tripartitus,Groves (1993),Species
Saguinus tripartitus,Groves (2005),Species
Saimiri,Groves (1993),Genus
Saimiri,Groves (2005),Genus
Saimiri boliviensis,Groves (1993),Species
Saimiri boliviensis,Groves (2005),Species
Saimiri oerstedii,Groves (1993),Species
Saimiri oerstedii,Groves (2005),Species
Saimiri sciureus,Groves (1993),Species
Saimiri sciureus,Groves (2005),Species
Saimiri ustus,Groves (1993),Species
Saimiri ustus,Groves (2005),Species
Saimiri vanzolinii,Groves (1993),Species
Saimiri vanzolinii,Groves (2005),Species
Saimiriinae,Groves (2005),Subfamily
Semnopithecus,Groves (1993),Genus
Semnopithecus,Groves (2005),Genus
Semnopithecus ajax,Groves (2005),Species
Semnopithecus dussumieri,Groves (2005),Species
Semnopithecus entellus,Groves (1993),Species
Semnopithecus entellus,Groves (2005),Species
Semnopithecus hector,Groves (2005),Species
Semnopithecus hypoleucos,Groves (2005),Species
Semnopithecus priam,Groves (2005),Species
Semnopithecus schistaceus,Groves (2005),Species
Simias,Groves (2005),Genus
Simias concolor,Groves (2005),Species
Simiiformes,Groves (2005),Infraorder
Strepsirrhini,Groves (2005),Suborder
Symphalangus,Groves (2005),Genus
Symphalangus syndactylus,Groves (2005),Species
Tarsiidae,Groves (1993),Family
Tarsiidae,Groves (2005),Family
Tarsiiformes,Groves (2005),Infraorder
Tarsius,Groves (1993),Genus
Tarsius,Groves (2005),Genus
Tarsius bancanus,Groves (1993),Species
Tarsius bancanus,Groves (2005),Species
Tarsius dentatus,Groves (2005),Species
Tarsius dianae,Groves (1993),Species
Tarsius pelengensis,Groves (2005),Species
Tarsius pumilus,Groves (1993),Species
Tarsius pumilus,Groves (2005),Species
Tarsius sangirensis,Groves (2005),Species
Tarsius spectrum,Groves (1993),Species
Tarsius syrichta,Groves (1993),Species
Tarsius syrichta,Groves (2005),Species
Tarsius tarsier,Groves (2005),Species
Theropithecus,Groves (1993),Genus
Theropithecus,Groves (2005),Genus
Theropithecus gelada,Groves (1993),Species
Theropithecus gelada,Groves (2005),Species
Trachypithecus,Groves (1993),Genus
Trachypithecus,Groves (2005),Genus
Trachypithecus auratus,Groves (1993),Species
Trachypithecus auratus,Groves (2005),Species
Trachypithecus barbei,Groves (2005),Species
Trachypithecus cristatus,Groves (1993),Species
Trachypithecus cristatus,Groves (2005),Species
Trachypithecus delacouri,Groves (2005),Species
Trachypithecus ebenus,Groves (2005),Species
Trachypithecus francoisi,Groves (1993),Species
Trachypithecus francoisi,Groves (2005),Species
Trachypithecus geei,Groves (1993),Species
Trachypithecus geei,Groves (2005),Species
Trachypithecus germaini,Groves (2005),Species
Trachypithecus hatinhensis,Groves (2005),Species
Trachypithecus johnii,Groves (1993),Species
Trachypithecus johnii,Groves (2005),Species
Trachypithecus laotum,Groves (2005),Species
Trachypithecus obscurus,Groves (1993),Species
Trachypithecus obscurus,Groves (2005),Species
Trachypithecus phayrei,Groves (1993),Species
Trachypithecus phayrei,Groves (2005),Species
Trachypithecus pileatus,Groves (1993),Species
Trachypithecus pileautus,Groves (2005),Species
Trachypithecus poliocephalus,Groves (2005),Species
Trachypithecus shortridgei,Groves (2005),Species
Trachypithecus vetulus,Groves (1993),Species
Trachypithecus vetulus,Groves (2005),Species
Varecia,Groves (1993),Genus
Varecia,Groves (2005),Genus
Varecia rubra,Groves (2005),Species
Varecia variegata,Groves (1993),Species
Varecia variegata,Groves (2005),Species
